Time_in_sec,Latitude,Longitude,Altitude,Nbsat_max_qualitysignal,Nbsat_locked,valid_data
1322933613.82551622,-0.00005921,0.00003727,-1678.45300293,0,1,0
1322933708.57652068,-0.00005870,0.00003679,-2654.27734375,0,1,0
1322933708.62563825,-0.00005868,0.00003677,-2654.82495117,0,1,0
1322933708.66583085,-0.00005870,0.00003678,-2655.37280273,0,1,0
1322933708.71388769,-0.00005870,0.00003678,-2655.81103516,0,1,0
1322933708.77340341,-0.00005868,0.00003676,-2656.35888672,0,1,0
1322933708.81359839,-0.00005868,0.00003676,-2657.01635742,0,1,0
1322933708.86565995,-0.00005868,0.00003676,-2657.45483398,0,1,0
1322933708.91356850,-0.00005870,0.00003678,-2658.00268555,0,1,0
1322933708.97653794,-0.00005868,0.00003676,-2658.55078125,0,1,0
1322933709.02464890,-0.00005868,0.00003676,-2659.20849609,0,1,0
1322933709.07374740,-0.00005870,0.00003678,-2659.75659180,0,1,0
1322933709.12454510,-0.00005868,0.00003676,-2660.30468750,0,1,0
1322933709.17667031,-0.00005870,0.00003677,-2660.85278320,0,1,0
1322933709.22463346,-0.00005868,0.00003676,-2661.40112305,0,1,0
1322933709.26555133,-0.00005870,0.00003677,-2661.94921875,0,1,0
1322933709.32458067,-0.00005870,0.00003677,-2662.38793945,0,1,0
1322933709.36564803,-0.00005870,0.00003677,-2663.04589844,0,1,0
1322933709.42463326,-0.00005870,0.00003677,-2663.48461914,0,1,0
1322933709.47365165,-0.00005870,0.00003677,-2664.14257812,0,1,0
1322933709.51289821,-0.00005868,0.00003675,-2664.69091797,0,1,0
1322933709.57363725,-0.00005868,0.00003675,-2665.12963867,0,1,0
1322933709.62576509,-0.00005868,0.00003675,-2665.78784180,0,1,0
1322933709.66620684,-0.00005870,0.00003677,-2666.33642578,0,1,0
1322933709.72557354,-0.00005870,0.00003676,-2666.77514648,0,1,0
1322933709.76554942,-0.00005870,0.00003676,-2667.43359375,0,1,0
1322933709.81663418,-0.00005870,0.00003676,-2667.87255859,0,1,0
1322933709.87363863,-0.00005868,0.00003674,-2668.42114258,0,1,0
1322933709.91763830,-0.00005868,0.00003674,-2669.07958984,0,1,0
1322933709.97364283,-0.00005868,0.00003674,-2669.51855469,0,1,0
1322933710.02564192,-0.00005868,0.00003674,-2670.17700195,0,1,0
1322933710.07388616,-0.00005870,0.00003676,-2670.72583008,0,1,0
1322933710.12564254,-0.00005868,0.00003674,-2671.27490234,0,1,0
1322933710.16571450,-0.00005870,0.00003676,-2671.82373047,0,1,0
1322933710.21764350,-0.00005870,0.00003676,-2672.26269531,0,1,0
1322933710.26465201,-0.00005868,0.00003673,-2672.81176758,0,1,0
1322933710.31663346,-0.00005870,0.00003675,-2673.36059570,0,1,0
1322933710.37756968,-0.00005868,0.00003673,-2673.90966797,0,1,0
1322933710.41674781,-0.00005868,0.00003673,-2674.56835938,0,1,0
1322933710.47654295,-0.00005868,0.00003673,-2675.00756836,0,1,0
1322933710.51674938,-0.00005868,0.00003673,-2675.66650391,0,1,0
1322933710.56464839,-0.00005868,0.00003673,-2676.10595703,0,1,0
1322933710.61376762,-0.00005870,0.00003675,-2676.65502930,0,1,0
1322933710.66463614,-0.00005868,0.00003673,-2677.20410156,0,1,0
1322933710.71674514,-0.00005870,0.00003675,-2677.75341797,0,1,0
1322933710.77364635,-0.00005868,0.00003673,-2678.30273438,0,1,0
1322933710.81375694,-0.00005868,0.00003672,-2678.96191406,0,1,0
1322933710.86463332,-0.00005868,0.00003672,-2679.40136719,0,1,0
1322933710.92565441,-0.00005870,0.00003674,-2679.95068359,0,1,0
1322933710.97662854,-0.00005870,0.00003674,-2680.60986328,0,1,0
1322933711.02452421,-0.00005868,0.00003672,-2681.15942383,0,1,0
1322933711.07370329,-0.00005870,0.00003674,-2681.70874023,0,1,0
1322933711.11371541,-0.00005868,0.00003672,-2682.25830078,0,1,0
1322933711.16463590,-0.00005868,0.00003672,-2682.69799805,0,1,0
1322933711.21369386,-0.00005870,0.00003674,-2683.24755859,0,1,0
1322933711.27371240,-0.00005868,0.00003671,-2683.79736328,0,1,0
1322933711.31367612,-0.00005868,0.00003671,-2684.45678711,0,1,0
1322933711.37826824,-0.00005868,0.00003671,-2684.89648438,0,1,0
1322933711.41673470,-0.00005868,0.00003671,-2685.55615234,0,1,0
1322933711.46452951,-0.00005868,0.00003671,-2685.99609375,0,1,0
1322933711.52567887,-0.00005870,0.00003673,-2686.54565430,0,1,0
1322933711.56464148,-0.00005870,0.00003673,-2687.20556641,0,1,0
1322933711.61369824,-0.00005870,0.00003673,-2687.64526367,0,1,0
1322933711.66577649,-0.00005868,0.00003671,-2688.19506836,0,1,0
1322933711.72463441,-0.00005870,0.00003673,-2688.74487305,0,1,0
1322933711.76464725,-0.00005870,0.00003672,-2689.40478516,0,1,0
1322933711.81364870,-0.00005870,0.00003672,-2689.84472656,0,1,0
1322933711.87662935,-0.00005868,0.00003670,-2690.39477539,0,1,0
1322933711.92463899,-0.00005868,0.00003670,-2691.05468750,0,1,0
1322933711.97375870,-0.00005870,0.00003672,-2691.60473633,0,1,0
1322933712.01654077,-0.00005867,0.00003670,-2692.15478516,0,1,0
1322933712.06572914,-0.00005867,0.00003670,-2692.59497070,0,1,0
1322933712.11655641,-0.00005869,0.00003672,-2693.14501953,0,1,0
1322933712.17663431,-0.00005867,0.00003670,-2693.69531250,0,1,0
1322933712.22569299,-0.00005867,0.00003670,-2694.35571289,0,1,0
1322933712.27664900,-0.00005869,0.00003671,-2694.90576172,0,1,0
1322933712.31372023,-0.00005867,0.00003669,-2695.45629883,0,1,0
1322933712.37355661,-0.00005867,0.00003669,-2695.89648438,0,1,0
1322933712.41663909,-0.00005867,0.00003669,-2696.55688477,0,1,0
1322933712.46464109,-0.00005867,0.00003669,-2696.99731445,0,1,0
1322933712.52463770,-0.00005869,0.00003671,-2697.54760742,0,1,0
1322933712.57664633,-0.00005869,0.00003671,-2698.20825195,0,1,0
1322933712.61355042,-0.00005867,0.00003669,-2698.75878906,0,1,0
1322933712.67768574,-0.00005867,0.00003669,-2699.19921875,0,1,0
1322933712.71364427,-0.00005867,0.00003668,-2699.85986328,0,1,0
1322933712.77664733,-0.00005867,0.00003668,-2700.30029297,0,1,0
1322933712.81773734,-0.00005867,0.00003668,-2700.96093750,0,1,0
1322933712.86456966,-0.00005867,0.00003668,-2701.40136719,0,1,0
1322933712.92464972,-0.00005869,0.00003670,-2701.95214844,0,1,0
1322933712.96571040,-0.00005869,0.00003670,-2702.61303711,0,1,0
1322933713.02453876,-0.00005869,0.00003670,-2703.05346680,0,1,0
1322933713.06472015,-0.00005869,0.00003670,-2703.71459961,0,1,0
1322933713.11771274,-0.00005869,0.00003670,-2704.15527344,0,1,0
1322933713.17654514,-0.00005867,0.00003668,-2704.70605469,0,1,0
1322933713.21371341,-0.00005867,0.00003667,-2705.36718750,0,1,0
1322933713.26453519,-0.00005867,0.00003667,-2705.80786133,0,1,0
