Time_in_sec,gx,gy,gz
1322933708.57652855,-0.01008178,-0.00294852,-0.99994483
1322933708.62564635,-0.01020389,-0.00282243,-0.99994396
1322933708.66583872,-0.01016574,-0.00304914,-0.99994368
1322933708.71389556,-0.01007853,-0.00292047,-0.99994495
1322933708.77341127,-0.00988182,-0.00304614,-0.99994653
1322933708.81360626,-0.00973131,-0.00283538,-0.99994863
1322933708.86566806,-0.00982179,-0.00277029,-0.99994793
1322933708.91357636,-0.00979215,-0.00296490,-0.99994766
1322933708.97654581,-0.00973721,-0.00285480,-0.99994852
1322933709.02465701,-0.00967762,-0.00294735,-0.99994883
1322933709.07375741,-0.01004925,-0.00277969,-0.99994564
1322933709.12455297,-0.00989013,-0.00290647,-0.99994687
1322933709.17667818,-0.01005494,-0.00293837,-0.99994513
1322933709.22464132,-0.01013235,-0.00276584,-0.99994484
1322933709.26555920,-0.01022331,-0.00288131,-0.99994359
1322933709.32458878,-0.00999617,-0.00269194,-0.99994641
1322933709.36565638,-0.00989141,-0.00255206,-0.99994782
1322933709.42464280,-0.00996148,-0.00261105,-0.99994697
1322933709.47365952,-0.00982877,-0.00249756,-0.99994858
1322933709.51290607,-0.01006173,-0.00264764,-0.99994587
1322933709.57364607,-0.01013368,-0.00253025,-0.99994545
1322933709.62577295,-0.01004731,-0.00268031,-0.99994593
1322933709.66621518,-0.01009948,-0.00279431,-0.99994509
1322933709.72558236,-0.01010811,-0.00271288,-0.99994523
1322933709.76555729,-0.01008893,-0.00239024,-0.99994625
1322933709.81664205,-0.01002660,-0.00239244,-0.99994687
1322933709.87364674,-0.00998432,-0.00268100,-0.99994656
1322933709.91764617,-0.01007645,-0.00253183,-0.99994603
1322933709.97365093,-0.01003831,-0.00263993,-0.99994613
1322933710.02565002,-0.01017724,-0.00257585,-0.99994489
1322933710.07389426,-0.01025382,-0.00251228,-0.99994427
1322933710.12565112,-0.01030167,-0.00255753,-0.99994367
1322933710.16572261,-0.01014606,-0.00243593,-0.99994556
1322933710.21765161,-0.01028450,-0.00233626,-0.99994438
1322933710.26465988,-0.01044434,-0.00250591,-0.99994232
1322933710.31664157,-0.01067078,-0.00241269,-0.99994015
1322933710.37757874,-0.01079041,-0.00257785,-0.99993846
1322933710.41675615,-0.01074954,-0.00242919,-0.99993927
1322933710.47655106,-0.01079267,-0.00253144,-0.99993855
1322933710.51675773,-0.01058150,-0.00253638,-0.99994080
1322933710.56465650,-0.01055326,-0.00225141,-0.99994178
1322933710.61377573,-0.01055412,-0.00225600,-0.99994176
1322933710.66464496,-0.01059880,-0.00237363,-0.99994101
1322933710.71675372,-0.01065547,-0.00229670,-0.99994059
1322933710.77370787,-0.01078085,-0.00212429,-0.99993963
1322933710.81376481,-0.01082262,-0.00225666,-0.99993889
1322933710.86464143,-0.01086452,-0.00227475,-0.99993839
1322933710.92566252,-0.01097013,-0.00226364,-0.99993726
1322933710.97663665,-0.01107676,-0.00200067,-0.99993665
1322933711.02453232,-0.01080208,-0.00193929,-0.99993978
1322933711.07371211,-0.01062146,-0.00179138,-0.99994199
1322933711.11372328,-0.01070040,-0.00187135,-0.99994100
1322933711.16464376,-0.01067253,-0.00175024,-0.99994152
1322933711.21370196,-0.01066052,-0.00202620,-0.99994112
1322933711.27372050,-0.01068607,-0.00195985,-0.99994098
1322933711.31368613,-0.01074827,-0.00179336,-0.99994063
1322933711.37827611,-0.01073700,-0.00166981,-0.99994096
1322933711.41674232,-0.01064622,-0.00153618,-0.99994215
1322933711.46453738,-0.01084167,-0.00158972,-0.99993996
1322933711.52568698,-0.01049372,-0.00143495,-0.99994391
1322933711.56464982,-0.01037470,-0.00155918,-0.99994497
1322933711.61370611,-0.01044182,-0.00143903,-0.99994445
1322933711.66578460,-0.01033885,-0.00180191,-0.99994493
1322933711.72464252,-0.01028625,-0.00178823,-0.99994550
1322933711.76465631,-0.01021788,-0.00185807,-0.99994607
1322933711.81365776,-0.01031350,-0.00182415,-0.99994515
1322933711.87663770,-0.01009693,-0.00165996,-0.99994765
